GameNumber,PlayerName,Country,Score,SecondaryScore
3,Nataly Falero,Australia,420,0.9792 
3,Niels Christian Lundtoft,Denmark,420,0.9792 
3,Stefanus Ng,Indonesia,420,0.9792 
3,Christopher Ashworth,N/A,319,0.9792 
3,John Lim,Australia,317,0.9792 
3,Christian Hueber,Austria,284,0.9792 
3,Kiraën Andriamandimbisoa,Madagascar,284,0.9792 
3,Dhara Shah,India,284,0.9792 
3,Alfons Oliver Altes,Spain,263,0.9792 
3,Liam Bastick,N/A,261,0.9792 
3,Pichaya Pan-anukooln,Thailand,243,0.9792 
3,Cheong Ng,New Zealand,232,0.9792 
3,Ryan Bains,United Kingdom,232,0.9792 
3,Bram Van Eeckhout,Belgium,220,0.9792 
3,Jakub Hluzow,Poland,220,0.9792 
3,Stephen Dunn,United Kingdom,220,0.9792 
3,Gani Toleugazyyev,Kazakhstan,220,0.9792 
3,Jason Naniong,Japan,208,0.9792 
3,Alvin Siu Hin Lui,"Hong Kong SAR, China",188,0.9792 
3,Toby Funston,Australia,137,0.9792 
3,Chris Wilson,United Kingdom,119,0.9792 
3,Peter Rebecchi,United Kingdom,114,0.9792 
3,Steyn Wolmarans,South Africa,107,0.9792 
3,Nick Boberg,New Zealand,96,0.9792 
3,Grigoriy Korkishko,Russian Federation,94,0.9792 
3,Lorenzo Foti,Italy,94,0.9792 
3,Harry Gross,United Kingdom,84,0.9792 
3,Zsolt Mogyorósi,Hungary,84,0.9792 
3,Jan Mooijer,Netherlands,84,0.9792 
3,Albert Blom,Netherlands,84,0.9792 
3,Tom Vincent,United Kingdom,84,0.9792 
3,Kjell De Troye,Belgium,84,0.9792 
3,Princess Camille Ong,Philippines,72,0.9792 
3,Gareth Watson,South Africa,42,0.9792 
3,Jason Webber,South Africa,19,0.9792 
4,Kenneth Wang,United States of America,"1,105",0.9792 
4,Paul Dent,United Kingdom,"1,105",0.9792 
4,Joseph Michael Palisoc,United States of America,"1,105",0.9792 
4,David Brown,United States of America,"1,105",0.9792 
4,Michael Jarman,United Kingdom,"1,105",0.9792 
4,Diarmuid Early,Ireland,"1,105",0.9792 
4,Michael Holmes,Canada,"1,099",0.9792 
4,Tim Roberts,United Kingdom,"1,040",0.9792 
4,Brittany Deaton,United States of America,"1,000",0.9792 
4,Gabriela Stroj,Poland,980,0.9792 
4,Dan Mayoh,Australia,973,0.9792 
4,Sameer Jagetia,United States of America,781,0.9792 
4,Jack Franken,United States of America,781,0.9792 
4,Eduardo Gonzalez Arias,Spain,769,0.9792 
4,Brian Hanley,United States of America,757,0.9792 
4,Jason Hutcheson,United States of America,757,0.9792 
4,Ben deLeon,United States of America,757,0.9792 
4,Aleksandrs Goba,Latvia,745,0.9792 
4,Adam Reichenbach,Hungary,745,0.9792 
4,Greg Hingsbergen,United States of America,724,0.9792 
4,David Scully,United States of America,716,0.9792 
4,Jaq Kennedy,United Kingdom,716,0.9792 
4,Samir Asadov,Ukraine,704,0.9792 
4,Taylor Robinson,United States of America,704,0.9792 
4,Harry Seiders,United States of America,692,0.9792 
4,JP Delavin,Philippines,692,0.9792 
4,Andrew Biglowe,United Kingdom,692,0.9792 
4,Andrew Luchenbach,United States of America,692,0.9792 
4,Joaquin Courreges,Argentina,680,0.9792 
4,Julie Bowden,United Kingdom,680,0.9792 
4,William Freestone,United Kingdom,680,0.9792 
4,David Rosel,United Kingdom,680,0.9792 
4,Pierre Sertin,France,680,0.9792 
4,Emad Oughourli,United States of America,680,0.9792 
4,Justin Merson,Canada,676,0.9792 
4,Shaun McCarthy,United States of America,676,0.9792 
4,Fanny Caillot,Germany,664,0.9792 
4,Lianna Gerrish,United States of America,664,0.9792 
4,Thomas Marcelo,Brazil,652,0.9792 
4,Renier Wessels,South Africa,232,0.9792 
4,Dan Seiders,United States of America,640,0.9792 
4,Steve Hales,United Kingdom,640,0.9792 
4,Jesi Lipp,United States of America,640,0.9792 
4,Martijn Adriaanse,Netherlands,640,0.9792 
4,Mary Brown,United States of America,640,0.9792 
4,Jakub Pomykalski,Poland,568,0.9792 
4,Patrick Chatain,Colombia,568,0.9792 
4,Nick Lowman,United States of America,534,0.9792 
4,Juan Pablo Brea,Argentina,525,0.9792 
4,Luke Moraga,United States of America,522,0.9792 
4,Bryan Ferrier,United States of America,500,0.9792 
4,Lyanne van Dijk,Netherlands,492,0.9792 
4,Nathan Cunningham,United States of America,484,0.9792 
4,Neil Foot,United Kingdom,482,0.9792 
4,Morgan Carr,N/A,471,0.9792 
4,Adam Steiner,Austria,466,0.9792 
4,Katelyn Stienen,United States of America,460,0.9792 
4,Jelle Hettinga,Costa Rica,460,0.9792 
4,Loic Coquer,France,444,0.9792 
4,Michael Thanasides,United States of America,432,0.9792 
4,Stephanie A,United States of America,431,0.9792 
4,Nick McCartney,United States of America,420,0.9792 
4,Jack Graham,N/A,420,0.9792 
4,Peter van Veen,Netherlands,344,0.9792 
4,Bob Schriver,United States of America,326,0.9792 
4,Ben Rotblatt,United States of America,302,0.9792 
4,Norman Sheppard,United States of America,300,0.9792 
4,Joris Greiwe,Germany,295,0.9792 
4,Graydon Moore,Canada,290,0.9792 
4,Ricardo Domínguez,Mexico,280,0.9792 
4,Sergio Travieso,Spain,260,0.9792 
4,Nick Tone,United States of America,260,0.9792 
4,Daric Harrington,United States of America,260,0.9792 
4,Robert Valentine,United States of America,250,0.9792 
4,Khaled Habib,Egypt,240,0.9792 
4,Thomas Keane,Canada,220,0.9792 
4,Martin Rydder,United States of America,220,0.9792 
4,Mackenzie Dixon,Canada,159,0.9792 
4,Ben Pridmore,United Kingdom,124,0.9792 
4,Stephen Xiao,Canada,22,0.9792 
5,Anup Agarwal,India,813,0.9792 
5,Andrew Ngai,Australia,676,0.9792 
5,Peter Li,Australia,676,0.9792 
5,Willem Gerritsen,Netherlands,676,0.9792 
5,Min Chen,Australia,489,0.9792 
5,Ben Gutscher,China,484,0.9792 
5,Michael Clarke,New Zealand,478,0.9792 
5,Liam Bastick,N/A,478,0.9792 
5,Niels Christian Lundtoft,Denmark,470,0.9792 
5,Chris Wilson,United Kingdom,455,0.9792 
5,Ryan Bains,United Kingdom,442,0.9792 
5,Matthew Fried,Australia,410,0.9792 
5,Christian Hueber,Austria,319,0.9792 
5,Alfons Oliver Altes,Spain,319,0.9792 
5,Christopher Ashworth,N/A,319,0.9792 
5,Steyn Wolmarans,South Africa,309,0.9792 
5,Pichaya Pan-anukooln,Thailand,273,0.9792 
5,Steve Schulz,Australia,272,0.9792 
5,Isaac Méndez Cortiñas,Spain,272,0.9792 
5,Dhara Shah,India,250,0.9792 
5,Bo Rydobon,Thailand,250,0.9792 
5,Stefanus Ng,Indonesia,240,0.9792 
5,Nataly Falero,Australia,232,0.9792 
5,Nicolas Micot,France,220,0.9792 
6,Diarmuid Early,Ireland,"1,200",0.9792 
6,Kenneth Wang,United States of America,811,0.9792 
6,Andrew Biglowe,United Kingdom,775,0.9792 
6,Ben deLeon,United States of America,775,0.9792 
6,Brittany Deaton,United States of America,735,0.9792 
6,Taylor Robinson,United States of America,716,0.9792 
6,Joseph Michael Palisoc,United States of America,680,0.9792 
6,Michael Jarman,United Kingdom,674,0.9792 
6,Eduardo Gonzalez Arias,Spain,652,0.9792 
6,Katelyn Stienen,United States of America,640,0.9792 
6,JP Delavin,Philippines,640,0.9792 
6,Jesi Lipp,United States of America,640,0.9792 
6,Jack Franken,United States of America,640,0.9792 
6,Dan Mayoh,Australia,640,0.9792 
6,Tim Roberts,United Kingdom,610,0.9792 
6,Jaq Kennedy,United Kingdom,552,0.9792 
6,Sameer Jagetia,United States of America,504,0.9792 
6,David Scully,United States of America,474,0.9792 
6,Jason Hutcheson,United States of America,471,0.9792 
6,Martijn Adriaanse,Netherlands,470,0.9792 
6,Gabriela Stroj,Poland,453,0.9792 
6,Bryan Ferrier,United States of America,444,0.9792 
6,Mary Brown,United States of America,428,0.9792 
6,Michael Holmes,Canada,420,0.9792 
6,Shaun McCarthy,United States of America,397,0.9792 
6,Brian Hanley,United States of America,367,0.9792 
6,David Brown,United States of America,295,0.9792 
6,Juan Pablo Brea,Argentina,286,0.9792 
6,Dan Seiders,United States of America,284,0.9792 
6,Fanny Caillot,Germany,262,0.9792 
6,Ben Rotblatt,United States of America,253,0.9792 
6,Aleksandrs Goba,Latvia,250,0.9792 
6,Patrick Chatain,Colombia,250,0.9792 
6,Andrew Luchenbach,United States of America,250,0.9792 
6,Joris Greiwe,Germany,220,0.9792 
6,Adam Steiner,Austria,220,0.9792 
6,Julie Bowden,United Kingdom,219,0.9792 
6,William Freestone,United Kingdom,179,0.9792 
6,Adam Reichenbach,Hungary,82,0.9792 
6,Loic Coquer,France,18,0.9792 
7,Willem Gerritsen,Netherlands,830,0.9792 
7,Matthew Fried,Australia,830,0.9792 
7,Andrew Ngai,Australia,780,0.9792 
7,Michael Clarke,New Zealand,653,0.9792 
7,Alfons Oliver Altes,Spain,653,0.9792 
7,Min Chen,Australia,620,0.9792 
7,Liam Bastick,N/A,457,0.9792 
7,Steyn Wolmarans,South Africa,395,0.9792 
7,Ryan Bains,United Kingdom,389,0.9792 
7,Anup Agarwal,India,360,0.9792 
7,Christian Hueber,Austria,251,0.9792 
7,Peter Li,Australia,189,0.9792 
8,Michael Holmes,Canada,988,0.9792 
8,Diarmuid Early,Ireland,834,0.9792 
8,Ben deLeon,United States of America,784,0.9792 
8,Brittany Deaton,United States of America,770,0.9792 
8,Michael Jarman,United Kingdom,744,0.9792 
8,Andrew Biglowe,United Kingdom,556,0.9792 
8,Kenneth Wang,United States of America,530,0.9792 
8,Martijn Adriaanse,Netherlands,530,0.9792 
8,Joseph Michael Palisoc,United States of America,510,0.9792 
8,Jason Hutcheson,United States of America,506,0.9792 
8,Juan Pablo Brea,Argentina,424,0.9792 
8,Jaq Kennedy,United Kingdom,360,0.9792 
8,Mary Brown,United States of America,316,0.9792 
8,Dan Mayoh,Australia,310,0.9792 
8,David Brown,United States of America,295,0.9792 
8,Eduardo Gonzalez Arias,Spain,242,0.9792 
8,Gabriela Stroj,Poland,224,0.9792 
8,David Scully,United States of America,174,0.9792 
9,Matthew Fried,Australia,407,0.9792 
9,Michael Clarke,New Zealand,379,0.9792 
9,Andrew Ngai,Australia,346,0.9792 
9,Willem Gerritsen,Netherlands,242,0.9792 
9,Liam Bastick,N/A,240,0.9792 
9,Min Chen,Australia,104,0.9792 
10,Michael Jarman,United Kingdom,670,0.9792 
10,Joseph Michael Palisoc,United States of America,510,0.9792 
10,Kenneth Wang,United States of America,420,0.9792 
10,Brittany Deaton,United States of America,405,0.9792 
10,Michael Holmes,Canada,405,0.9792 
10,Andrew Biglowe,United Kingdom,328,0.9792 
10,Ben deLeon,United States of America,243,0.9792 
10,Jason Hutcheson,United States of America,242,0.9792 
10,Mary Brown,United States of America,232,0.9792 
10,Gabriela Stroj,Poland,178,0.9792 
11,Andrew Ngai,Australia,"1,250",0.9792 
